date,campaign_id,campaign_name,platform,impressions,clicks,spend,conversions,revenue
2026-03-11,CAMP-01,Summer Sale DE,google,13261,375,165.77,19,983.56
2026-03-11,CAMP-02,Brand Awareness EU,meta,55535,765,246.82,9,394.92
2026-03-11,CAMP-03,Retargeting EU,google,7462,382,88.62,20,1026.16
2026-03-11,CAMP-04,TikTok Summer Vibes,tiktok,37977,632,227.87,15,696.26
2026-03-11,CAMP-05,Google Shopping Feed,google,14500,696,241.67,33,1740.06
2026-03-11,CAMP-06,Meta Retargeting,meta,8878,337,106.55,17,843.5
2026-03-12,CAMP-01,Summer Sale DE,google,8696,246,108.7,13,644.97
2026-03-12,CAMP-02,Brand Awareness EU,meta,48084,662,213.71,8,341.94
2026-03-12,CAMP-03,Retargeting EU,google,9965,510,118.34,27,1370.26
2026-03-12,CAMP-04,TikTok Summer Vibes,tiktok,37466,624,224.8,14,686.89
2026-03-12,CAMP-05,Google Shopping Feed,google,15949,765,265.82,37,1913.89
2026-03-12,CAMP-06,Meta Retargeting,meta,11882,451,142.59,23,1128.82
2026-03-13,CAMP-01,Summer Sale DE,google,10307,292,128.85,15,764.49
2026-03-13,CAMP-02,Brand Awareness EU,meta,44886,618,199.5,7,319.19
2026-03-13,CAMP-03,Retargeting EU,google,9312,477,110.58,25,1280.43
2026-03-13,CAMP-04,TikTok Summer Vibes,tiktok,27738,462,166.43,11,508.53
2026-03-13,CAMP-05,Google Shopping Feed,google,12953,621,215.89,30,1554.42
2026-03-13,CAMP-06,Meta Retargeting,meta,8721,331,104.65,17,828.51
2026-03-14,CAMP-01,Summer Sale DE,google,11642,329,145.53,17,863.48
2026-03-14,CAMP-02,Brand Awareness EU,meta,45082,621,200.37,8,320.59
2026-03-14,CAMP-03,Retargeting EU,google,9213,472,109.41,25,1266.85
2026-03-14,CAMP-04,TikTok Summer Vibes,tiktok,31069,517,186.42,12,569.61
2026-03-14,CAMP-05,Google Shopping Feed,google,18154,871,302.58,42,2178.59
2026-03-14,CAMP-06,Meta Retargeting,meta,13904,528,166.85,27,1320.9
2026-03-15,CAMP-01,Summer Sale DE,google,13353,378,166.92,20,990.42
2026-03-15,CAMP-02,Brand Awareness EU,meta,50498,695,224.44,8,359.1
2026-03-15,CAMP-03,Retargeting EU,google,7840,401,93.11,21,1078.1
2026-03-15,CAMP-04,TikTok Summer Vibes,tiktok,41244,687,247.47,16,756.15
2026-03-15,CAMP-05,Google Shopping Feed,google,12359,593,205.99,28,1483.15
2026-03-15,CAMP-06,Meta Retargeting,meta,13247,503,158.97,26,1258.5
2026-03-16,CAMP-01,Summer Sale DE,google,10128,286,126.6,15,751.17
2026-03-16,CAMP-02,Brand Awareness EU,meta,42010,578,186.72,7,298.74
2026-03-16,CAMP-03,Retargeting EU,google,7615,390,90.43,20,1047.13
2026-03-16,CAMP-04,TikTok Summer Vibes,tiktok,29555,492,177.33,11,541.86
2026-03-16,CAMP-05,Google Shopping Feed,google,10725,514,178.75,25,1287.02
2026-03-16,CAMP-06,Meta Retargeting,meta,12232,464,146.79,24,1162.11
2026-03-17,CAMP-01,Summer Sale DE,google,8562,242,107.03,12,635.03
2026-03-17,CAMP-02,Brand Awareness EU,meta,54897,756,243.99,9,390.38
2026-03-17,CAMP-03,Retargeting EU,google,7622,390,90.51,20,1048.03
2026-03-17,CAMP-04,TikTok Summer Vibes,tiktok,27384,456,164.31,10,502.05
2026-03-17,CAMP-05,Google Shopping Feed,google,13273,637,221.22,30,1592.78
2026-03-17,CAMP-06,Meta Retargeting,meta,9670,367,116.05,19,918.74
2026-03-18,CAMP-01,Summer Sale DE,google,9837,278,122.97,14,729.65
2026-03-18,CAMP-02,Brand Awareness EU,meta,33883,466,150.59,6,240.95
2026-03-18,CAMP-03,Retargeting EU,google,7122,365,84.57,19,979.28
2026-03-18,CAMP-04,TikTok Summer Vibes,tiktok,29481,491,176.89,11,540.49
2026-03-18,CAMP-05,Google Shopping Feed,google,12369,593,206.15,28,1484.31
2026-03-18,CAMP-06,Meta Retargeting,meta,11661,443,139.94,23,1107.86
2026-03-19,CAMP-01,Summer Sale DE,google,8827,250,110.35,13,654.72
2026-03-19,CAMP-02,Brand Awareness EU,meta,47385,652,210.6,8,336.97
2026-03-19,CAMP-03,Retargeting EU,google,9386,481,111.46,25,1290.59
2026-03-19,CAMP-04,TikTok Summer Vibes,tiktok,32580,543,195.48,13,597.31
2026-03-19,CAMP-05,Google Shopping Feed,google,10918,524,181.98,25,1310.23
2026-03-19,CAMP-06,Meta Retargeting,meta,12106,460,145.28,24,1150.13
2026-03-20,CAMP-01,Summer Sale DE,google,13717,388,171.46,20,1017.35
2026-03-20,CAMP-02,Brand Awareness EU,meta,53000,730,235.56,9,376.89
2026-03-20,CAMP-03,Retargeting EU,google,7388,378,87.74,20,1015.92
2026-03-20,CAMP-04,TikTok Summer Vibes,tiktok,27427,457,164.56,10,502.83
2026-03-20,CAMP-05,Google Shopping Feed,google,15056,722,250.94,35,1806.74
2026-03-20,CAMP-06,Meta Retargeting,meta,8453,321,101.44,16,803.04
2026-03-21,CAMP-01,Summer Sale DE,google,12065,341,150.82,18,894.85
2026-03-21,CAMP-02,Brand Awareness EU,meta,44403,611,197.35,7,315.76
2026-03-21,CAMP-03,Retargeting EU,google,7787,399,92.48,21,1070.82
2026-03-21,CAMP-04,TikTok Summer Vibes,tiktok,44502,741,267.01,17,815.87
2026-03-21,CAMP-05,Google Shopping Feed,google,20360,977,339.33,47,2443.21
2026-03-21,CAMP-06,Meta Retargeting,meta,12567,477,150.81,25,1193.9
2026-03-22,CAMP-01,Summer Sale DE,google,13159,372,164.5,19,976.01
2026-03-22,CAMP-02,Brand Awareness EU,meta,43863,604,194.95,7,311.92
2026-03-22,CAMP-03,Retargeting EU,google,11705,599,139.0,32,1609.46
2026-03-22,CAMP-04,TikTok Summer Vibes,tiktok,43065,717,258.39,17,789.53
2026-03-22,CAMP-05,Google Shopping Feed,google,21026,1009,350.45,49,2523.23
2026-03-22,CAMP-06,Meta Retargeting,meta,8947,340,107.38,17,850.05
2026-03-23,CAMP-01,Summer Sale DE,google,11363,321,142.05,17,842.8
2026-03-23,CAMP-02,Brand Awareness EU,meta,58064,799,258.06,10,412.9
2026-03-23,CAMP-03,Retargeting EU,google,8630,442,102.48,23,1186.66
2026-03-23,CAMP-04,TikTok Summer Vibes,tiktok,37477,624,224.87,14,687.09
2026-03-23,CAMP-05,Google Shopping Feed,google,16539,793,275.67,38,1984.8
2026-03-23,CAMP-06,Meta Retargeting,meta,7080,269,84.97,14,672.68
2026-03-24,CAMP-01,Summer Sale DE,google,15297,433,191.22,22,1134.56
2026-03-24,CAMP-02,Brand Awareness EU,meta,38526,530,171.23,6,273.96
2026-03-24,CAMP-03,Retargeting EU,google,5738,294,68.15,15,789.08
2026-03-24,CAMP-04,TikTok Summer Vibes,tiktok,38991,649,233.95,15,714.85
2026-03-24,CAMP-05,Google Shopping Feed,google,17131,822,285.53,39,2055.81
2026-03-24,CAMP-06,Meta Retargeting,meta,7420,281,89.05,14,704.98
2026-03-25,CAMP-01,Summer Sale DE,google,13696,388,171.21,20,1015.82
2026-03-25,CAMP-02,Brand Awareness EU,meta,53503,737,237.79,9,380.47
2026-03-25,CAMP-03,Retargeting EU,google,8407,430,99.84,23,1156.04
2026-03-25,CAMP-04,TikTok Summer Vibes,tiktok,34562,576,207.37,13,633.64
2026-03-25,CAMP-05,Google Shopping Feed,google,13755,660,229.25,32,1650.61
2026-03-25,CAMP-06,Meta Retargeting,meta,9528,362,114.34,19,905.21
2026-03-26,CAMP-01,Summer Sale DE,google,8966,254,112.08,13,665.01
2026-03-26,CAMP-02,Brand Awareness EU,meta,50114,690,222.73,8,356.37
2026-03-26,CAMP-03,Retargeting EU,google,8469,434,100.58,23,1164.58
2026-03-26,CAMP-04,TikTok Summer Vibes,tiktok,31218,520,187.31,12,572.34
2026-03-26,CAMP-05,Google Shopping Feed,google,17120,821,285.34,39,2054.45
2026-03-26,CAMP-06,Meta Retargeting,meta,12001,456,144.02,24,1140.12
2026-03-27,CAMP-01,Summer Sale DE,google,15554,440,194.43,23,1153.59
2026-03-27,CAMP-02,Brand Awareness EU,meta,33842,466,150.41,6,240.66
2026-03-27,CAMP-03,Retargeting EU,google,6088,312,72.3,16,837.19
2026-03-27,CAMP-04,TikTok Summer Vibes,tiktok,36961,616,221.77,14,677.62
2026-03-27,CAMP-05,Google Shopping Feed,google,15021,721,250.36,35,1802.57
2026-03-27,CAMP-06,Meta Retargeting,meta,11493,436,137.92,22,1091.86
2026-03-28,CAMP-01,Summer Sale DE,google,13367,378,167.1,20,991.46
2026-03-28,CAMP-02,Brand Awareness EU,meta,65075,896,289.22,11,462.76
2026-03-28,CAMP-03,Retargeting EU,google,8657,443,102.81,23,1190.46
2026-03-28,CAMP-04,TikTok Summer Vibes,tiktok,25733,428,154.4,10,471.78
2026-03-28,CAMP-05,Google Shopping Feed,google,19632,942,327.2,45,2355.87
2026-03-28,CAMP-06,Meta Retargeting,meta,11295,429,135.55,22,1073.09
2026-03-29,CAMP-01,Summer Sale DE,google,13179,373,164.74,19,977.47
2026-03-29,CAMP-02,Brand Awareness EU,meta,39112,538,173.84,6,278.14
2026-03-29,CAMP-03,Retargeting EU,google,9988,511,118.61,27,1373.41
2026-03-29,CAMP-04,TikTok Summer Vibes,tiktok,37561,626,225.37,15,688.63
2026-03-29,CAMP-05,Google Shopping Feed,google,17365,833,289.42,40,2083.81
2026-03-29,CAMP-06,Meta Retargeting,meta,12665,481,151.99,25,1203.23
2026-03-30,CAMP-01,Summer Sale DE,google,10420,295,130.26,15,772.87
2026-03-30,CAMP-02,Brand Awareness EU,meta,43962,605,195.39,7,312.62
2026-03-30,CAMP-03,Retargeting EU,google,8401,430,99.76,23,1155.14
2026-03-30,CAMP-04,TikTok Summer Vibes,tiktok,28198,469,169.19,11,516.97
2026-03-30,CAMP-05,Google Shopping Feed,google,16358,785,272.63,38,1962.97
2026-03-30,CAMP-06,Meta Retargeting,meta,11691,444,140.3,23,1110.72
2026-03-31,CAMP-01,Summer Sale DE,google,11160,316,139.51,16,827.74
2026-03-31,CAMP-02,Brand Awareness EU,meta,55406,763,246.25,9,394.0
2026-03-31,CAMP-03,Retargeting EU,google,8999,461,106.87,24,1237.39
2026-03-31,CAMP-04,TikTok Summer Vibes,tiktok,21284,354,127.71,8,390.22
2026-03-31,CAMP-05,Google Shopping Feed,google,13855,665,230.93,32,1662.69
2026-03-31,CAMP-06,Meta Retargeting,meta,7799,296,93.59,15,740.91
2026-04-01,CAMP-01,Summer Sale DE,google,11309,320,141.37,16,838.8
2026-04-01,CAMP-02,Brand Awareness EU,meta,57904,797,257.35,10,411.77
2026-04-01,CAMP-03,Retargeting EU,google,8413,431,99.91,23,1156.87
2026-04-01,CAMP-04,TikTok Summer Vibes,tiktok,21301,355,127.81,8,390.54
2026-04-01,CAMP-05,Google Shopping Feed,google,16277,781,271.29,37,1953.26
2026-04-01,CAMP-06,Meta Retargeting,meta,7406,281,88.88,14,703.65
2026-04-02,CAMP-01,Summer Sale DE,google,13571,384,169.65,20,1006.59
2026-04-02,CAMP-02,Brand Awareness EU,meta,50437,694,224.17,8,358.67
2026-04-02,CAMP-03,Retargeting EU,google,8919,457,105.92,24,1226.49
2026-04-02,CAMP-04,TikTok Summer Vibes,tiktok,21064,351,126.39,8,386.19
2026-04-02,CAMP-05,Google Shopping Feed,google,12124,581,202.07,28,1454.92
2026-04-02,CAMP-06,Meta Retargeting,meta,11226,426,134.71,22,1066.49
2026-04-03,CAMP-01,Summer Sale DE,google,11973,339,149.67,17,888.07
2026-04-03,CAMP-02,Brand Awareness EU,meta,56023,771,248.99,9,398.39
2026-04-03,CAMP-03,Retargeting EU,google,9705,497,115.26,26,1334.54
2026-04-03,CAMP-04,TikTok Summer Vibes,tiktok,26679,444,160.08,10,489.13
2026-04-03,CAMP-05,Google Shopping Feed,google,18043,866,300.73,42,2165.23
2026-04-03,CAMP-06,Meta Retargeting,meta,11082,421,132.99,22,1052.83
2026-04-04,CAMP-01,Summer Sale DE,google,14819,419,185.25,22,1099.12
2026-04-04,CAMP-02,Brand Awareness EU,meta,49338,679,219.28,8,350.85
2026-04-04,CAMP-03,Retargeting EU,google,11488,588,136.43,31,1579.7
2026-04-04,CAMP-04,TikTok Summer Vibes,tiktok,25538,425,153.23,10,468.21
2026-04-04,CAMP-05,Google Shopping Feed,google,12642,606,210.7,29,1517.06
2026-04-04,CAMP-06,Meta Retargeting,meta,8513,323,102.17,17,808.82
2026-04-05,CAMP-01,Summer Sale DE,google,16910,479,211.38,25,1254.2
2026-04-05,CAMP-02,Brand Awareness EU,meta,52741,726,234.41,9,375.05
2026-04-05,CAMP-03,Retargeting EU,google,8516,436,101.13,23,1170.96
2026-04-05,CAMP-04,TikTok Summer Vibes,tiktok,30532,508,183.19,12,559.76
2026-04-05,CAMP-05,Google Shopping Feed,google,15257,732,254.3,35,1830.95
2026-04-05,CAMP-06,Meta Retargeting,meta,14036,533,168.44,28,1333.47
2026-04-06,CAMP-01,Summer Sale DE,google,9935,281,124.19,14,736.86
2026-04-06,CAMP-02,Brand Awareness EU,meta,47451,653,210.89,8,337.43
2026-04-06,CAMP-03,Retargeting EU,google,6033,309,71.65,16,829.59
2026-04-06,CAMP-04,TikTok Summer Vibes,tiktok,29168,486,175.01,11,534.75
2026-04-06,CAMP-05,Google Shopping Feed,google,17165,823,286.1,40,2059.9
2026-04-06,CAMP-06,Meta Retargeting,meta,9037,343,108.45,18,858.56
2026-04-07,CAMP-01,Summer Sale DE,google,10280,291,128.5,15,762.45
2026-04-07,CAMP-02,Brand Awareness EU,meta,39579,545,175.91,7,281.45
2026-04-07,CAMP-03,Retargeting EU,google,7051,361,83.74,19,969.61
2026-04-07,CAMP-04,TikTok Summer Vibes,tiktok,23307,388,139.85,9,427.31
2026-04-07,CAMP-05,Google Shopping Feed,google,12191,585,203.2,28,1463.02
2026-04-07,CAMP-06,Meta Retargeting,meta,10634,404,127.61,21,1010.25
2026-04-08,CAMP-01,Summer Sale DE,google,10430,295,130.38,15,773.6
2026-04-08,CAMP-02,Brand Awareness EU,meta,31950,440,142.0,5,227.2
2026-04-08,CAMP-03,Retargeting EU,google,9906,507,117.64,27,1362.15
2026-04-08,CAMP-04,TikTok Summer Vibes,tiktok,36727,612,220.37,14,673.34
2026-04-08,CAMP-05,Google Shopping Feed,google,11998,575,199.97,27,1439.8
2026-04-08,CAMP-06,Meta Retargeting,meta,11332,430,135.98,22,1076.54
2026-04-09,CAMP-01,Summer Sale DE,google,14038,397,175.48,21,1041.17
2026-04-09,CAMP-02,Brand Awareness EU,meta,44482,612,197.7,7,316.32
2026-04-09,CAMP-03,Retargeting EU,google,6683,342,79.36,18,918.94
2026-04-09,CAMP-04,TikTok Summer Vibes,tiktok,27432,457,164.59,10,502.93
2026-04-09,CAMP-05,Google Shopping Feed,google,11238,539,187.31,26,1348.65
2026-04-09,CAMP-06,Meta Retargeting,meta,12494,474,149.94,24,1186.99
2026-04-10,CAMP-01,Summer Sale DE,google,13310,377,166.38,19,987.17
2026-04-10,CAMP-02,Brand Awareness EU,meta,51879,714,230.57,9,368.92
2026-04-10,CAMP-03,Retargeting EU,google,7550,386,89.66,20,1038.15
2026-04-10,CAMP-04,TikTok Summer Vibes,tiktok,26581,443,159.49,10,487.33
2026-04-10,CAMP-05,Google Shopping Feed,google,18303,878,305.06,42,2196.43
2026-04-10,CAMP-06,Meta Retargeting,meta,9981,379,119.78,19,948.23
2026-04-11,CAMP-01,Summer Sale DE,google,12164,344,152.05,18,902.18
2026-04-11,CAMP-02,Brand Awareness EU,meta,42552,586,189.12,7,302.6
2026-04-11,CAMP-03,Retargeting EU,google,11790,604,140.02,32,1621.26
2026-04-11,CAMP-04,TikTok Summer Vibes,tiktok,43166,719,259.0,17,791.39
2026-04-11,CAMP-05,Google Shopping Feed,google,12865,617,214.42,30,1543.83
2026-04-11,CAMP-06,Meta Retargeting,meta,12702,482,152.43,25,1206.76
2026-04-12,CAMP-01,Summer Sale DE,google,9731,275,121.65,14,721.77
2026-04-12,CAMP-02,Brand Awareness EU,meta,47258,651,210.04,8,336.06
2026-04-12,CAMP-03,Retargeting EU,google,8503,435,100.98,23,1169.28
2026-04-12,CAMP-04,TikTok Summer Vibes,tiktok,29687,494,178.13,11,544.28
2026-04-12,CAMP-05,Google Shopping Feed,google,21852,1048,364.21,50,2622.29
2026-04-12,CAMP-06,Meta Retargeting,meta,10937,415,131.24,21,1039.02
2026-04-13,CAMP-01,Summer Sale DE,google,10691,302,133.65,16,792.96
2026-04-13,CAMP-02,Brand Awareness EU,meta,53497,737,237.77,9,380.43
2026-04-13,CAMP-03,Retargeting EU,google,7276,372,86.41,20,1000.51
2026-04-13,CAMP-04,TikTok Summer Vibes,tiktok,38115,635,228.69,15,698.79
2026-04-13,CAMP-05,Google Shopping Feed,google,18920,908,315.35,44,2270.52
2026-04-13,CAMP-06,Meta Retargeting,meta,11654,442,139.86,23,1107.22
2026-04-14,CAMP-01,Summer Sale DE,google,11025,312,137.82,16,817.74
2026-04-14,CAMP-02,Brand Awareness EU,meta,36030,496,160.13,6,256.22
2026-04-14,CAMP-03,Retargeting EU,google,6170,316,73.28,16,848.49
2026-04-14,CAMP-04,TikTok Summer Vibes,tiktok,30906,515,185.44,12,566.62
2026-04-14,CAMP-05,Google Shopping Feed,google,13450,645,224.18,31,1614.1
2026-04-14,CAMP-06,Meta Retargeting,meta,12260,465,147.13,24,1164.79
2026-04-15,CAMP-01,Summer Sale DE,google,14208,402,177.61,21,1053.79
2026-04-15,CAMP-02,Brand Awareness EU,meta,33062,455,146.95,5,235.11
2026-04-15,CAMP-03,Retargeting EU,google,8371,429,99.41,23,1151.04
2026-04-15,CAMP-04,TikTok Summer Vibes,tiktok,26464,441,158.79,10,485.18
2026-04-15,CAMP-05,Google Shopping Feed,google,18475,886,307.93,43,2217.09
2026-04-15,CAMP-06,Meta Retargeting,meta,11761,446,141.14,23,1117.38
2026-04-16,CAMP-01,Summer Sale DE,google,8947,253,111.84,13,663.57
2026-04-16,CAMP-02,Brand Awareness EU,meta,36111,497,160.5,6,256.8
2026-04-16,CAMP-03,Retargeting EU,google,10390,532,123.38,28,1428.65
2026-04-16,CAMP-04,TikTok Summer Vibes,tiktok,38625,643,231.75,15,708.14
2026-04-16,CAMP-05,Google Shopping Feed,google,13472,646,224.54,31,1616.72
2026-04-16,CAMP-06,Meta Retargeting,meta,11845,450,142.15,23,1125.36
2026-04-17,CAMP-01,Summer Sale DE,google,14444,409,180.56,21,1071.29
2026-04-17,CAMP-02,Brand Awareness EU,meta,57771,795,256.76,10,410.82
2026-04-17,CAMP-03,Retargeting EU,google,6130,314,72.8,16,843.0
2026-04-17,CAMP-04,TikTok Summer Vibes,tiktok,29292,488,175.76,11,537.04
2026-04-17,CAMP-05,Google Shopping Feed,google,17321,831,288.68,40,2078.53
2026-04-17,CAMP-06,Meta Retargeting,meta,8066,306,96.8,16,766.35
2026-04-18,CAMP-01,Summer Sale DE,google,14114,399,176.44,21,1046.86
2026-04-18,CAMP-02,Brand Awareness EU,meta,65488,902,291.06,11,465.7
2026-04-18,CAMP-03,Retargeting EU,google,6975,357,82.84,19,959.2
2026-04-18,CAMP-04,TikTok Summer Vibes,tiktok,28711,478,172.27,11,526.37
2026-04-18,CAMP-05,Google Shopping Feed,google,17586,844,293.11,41,2110.36
2026-04-18,CAMP-06,Meta Retargeting,meta,14636,556,175.64,29,1390.49
2026-04-19,CAMP-01,Summer Sale DE,google,10419,295,130.24,15,772.76
2026-04-19,CAMP-02,Brand Awareness EU,meta,63906,880,284.03,11,454.45
2026-04-19,CAMP-03,Retargeting EU,google,10665,546,126.65,29,1466.46
2026-04-19,CAMP-04,TikTok Summer Vibes,tiktok,39309,655,235.86,15,720.67
2026-04-19,CAMP-05,Google Shopping Feed,google,22349,1072,372.5,52,2682.0
2026-04-19,CAMP-06,Meta Retargeting,meta,14677,557,176.13,29,1394.37
2026-04-20,CAMP-01,Summer Sale DE,google,8868,251,110.85,13,657.73
2026-04-20,CAMP-02,Brand Awareness EU,meta,38471,530,170.98,6,273.57
2026-04-20,CAMP-03,Retargeting EU,google,7448,381,88.46,20,1024.22
2026-04-20,CAMP-04,TikTok Summer Vibes,tiktok,25664,427,153.98,10,470.51
2026-04-20,CAMP-05,Google Shopping Feed,google,16832,807,280.54,39,2019.86
2026-04-20,CAMP-06,Meta Retargeting,meta,12892,489,154.71,25,1224.76
2026-04-21,CAMP-01,Summer Sale DE,google,9645,273,120.57,14,715.41
2026-04-21,CAMP-02,Brand Awareness EU,meta,56197,774,249.77,9,399.63
2026-04-21,CAMP-03,Retargeting EU,google,6093,312,72.36,16,837.85
2026-04-21,CAMP-04,TikTok Summer Vibes,tiktok,31948,532,191.69,12,585.73
2026-04-21,CAMP-05,Google Shopping Feed,google,13829,663,230.5,32,1659.57
2026-04-21,CAMP-06,Meta Retargeting,meta,9779,371,117.36,19,929.09
2026-04-22,CAMP-01,Summer Sale DE,google,14456,409,180.71,21,1072.19
2026-04-22,CAMP-02,Brand Awareness EU,meta,57908,797,257.37,10,411.79
2026-04-22,CAMP-03,Retargeting EU,google,9665,495,114.78,26,1329.01
2026-04-22,CAMP-04,TikTok Summer Vibes,tiktok,36127,602,216.76,14,662.34
2026-04-22,CAMP-05,Google Shopping Feed,google,17119,821,285.33,39,2054.35
2026-04-22,CAMP-06,Meta Retargeting,meta,7609,289,91.32,15,722.91
2026-04-23,CAMP-01,Summer Sale DE,google,8855,250,110.7,13,656.81
2026-04-23,CAMP-02,Brand Awareness EU,meta,39988,550,177.73,7,284.36
2026-04-23,CAMP-03,Retargeting EU,google,7866,403,93.41,21,1081.64
2026-04-23,CAMP-04,TikTok Summer Vibes,tiktok,24477,407,146.86,9,448.75
2026-04-23,CAMP-05,Google Shopping Feed,google,11316,543,188.6,26,1357.93
2026-04-23,CAMP-06,Meta Retargeting,meta,7522,285,90.28,15,714.68
2026-04-24,CAMP-01,Summer Sale DE,google,13610,385,170.14,20,1009.47
2026-04-24,CAMP-02,Brand Awareness EU,meta,33879,466,150.57,6,240.92
2026-04-24,CAMP-03,Retargeting EU,google,6797,348,80.72,18,934.64
2026-04-24,CAMP-04,TikTok Summer Vibes,tiktok,26982,449,161.89,10,494.67
2026-04-24,CAMP-05,Google Shopping Feed,google,16270,780,271.17,37,1952.4
2026-04-24,CAMP-06,Meta Retargeting,meta,9174,348,110.1,18,871.59
2026-04-25,CAMP-01,Summer Sale DE,google,16689,472,208.62,25,1237.81
2026-04-25,CAMP-02,Brand Awareness EU,meta,65792,906,292.41,11,467.86
